Name,Type,Notes
TP Tactical Planning Components MODELs,Package,
NT Explicit Frame MODELs,Package,
ND Network Description MODELs,Package,"The Network Description Model describes the basic physical network and is divided into a number of separate submodels covering different aspects of the Network. For ease of understanding, the submodels are presented one at a time, each describing only a small set of related concepts."
FO Fixed Object MODELs ,Package,"
"
NT Flexible Network MODEL,Package,
NT Vehicle & Crew Point MODEL,Package,
NT Activation MODEL,Package,
NT Line MODEL,Package,
NT Network Infrastructure MODELs,Package,
NT Route MODEL,Package,
NT Line Network MODEL,Package,
ND Route Instruction MODEL,Package,
,Constraint,Exclusion
,Text,
,Note,"For FTS, a link can occur between
  * 2 points.
  * 2 zones (through centroid Points).
  * a point and a zone.
This is true for ROUTE LINK, TIMING LINK and SERVICE LINK."
FLEXIBLE POINT PROPERTIES,Class,Set of characteristics describing the possible flexibility of POINTs.
,Text,
FLEXIBLE LINK PROPERTIES,Class,Set of properties describing the flexible characteristics of a LINK.
FLEXIBLE LINE,Class,"Specialisation of LINE for flexible service.
NOTE1: As the service on a LINE may not all be flexible, flexibility itself is described at JOURNEY PATTERN level (meaning that a separate JOURNEY PATTERN is needed for each type of flexibility available for the line).
NOTE2: Types of flexible services include: Virtual line services; Flexible service with a main route; Corridor services; Fixed stop area-wide flexible services; Free area-wide flexible services; Mixed combinations of flexible services of different types; Mixed combinations of flexible and regular services."
FLEXIBLE ROUTE,Class,"Specialisation of ROUTE for flexible service.
NOTE: May include both point and zonal areas and ordered and unordered sections. "
,Text,
ACTIVATED EQUIPMENT,Class,An equipment activated by the passage of a vehicle at an ACTIVATION POINT or on an ACTIVATION LINK.
,Text,
ACTIVATION POINT,Class,"A POINT where a control process is activated when a vehicle passes it.
NOTE: EQUIPMENT may be needed for the activation. "
TYPE OF ACTIVATION,Class,A classification of real-time processes that are activated when vehicles pass an ACTIVATION POINT or an ACTIVATION LINK.
TRAFFIC CONTROL POINT,Class,"A POINT where the traffic flow can be influenced, e.g., traffic lights (lanterns), barriers."
ACTIVATION LINK,Class,A LINK where a control process is activated when a vehicle passes it.
TYPE OF TRAFFIC CONTROL POINT,Class,A classification of TRAFFIC CONTROL POINTs.
